car_name,year,price,assemble_place,series,driven kms,num_of_door,num_of_seat,engine_type,transmission,url
car_name,year,price,assemble_place,series,driven kms,num_of_door,num_of_seat,engine_type,transmission,url
Xe Kia Sorento 2.2 DAT Premium 2019,2019,699 Triệu,Lắp ráp trong nước,SUV,80000,5,7,Dầu,Số tự động,https://bonbanh.com/xe-kia-sorento-2.2-dat-premium-2019-5389429
Xe Kia Pride Beta 2001,2001,80 Triệu,Lắp ráp trong nước,Sedan,0,4,5,Xăng,Số tay,https://bonbanh.com/xe-kia-pride-beta-2001-5262448
Xe Mercedes Benz C class C200 2016,2016,666 Triệu,Lắp ráp trong nước,Sedan,83000,4,5,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2016-5374394
Xe Toyota Fortuner 2.4L 4x2 AT 2022,2022,1 Tỷ 48 Triệu,Lắp ráp trong nước,SUV,36000,5,7,Dầu,Số tự động,https://bonbanh.com/xe-toyota-fortuner-2.4l-4x2-at-2022-5276307
